"id","active","from_text","to_text","origin"
"res_bankintegration_10","True","01032018","Bgs","Nordea"
"res_bankintegration_11","True","0347895148","Coporate Netbank","Nordea"
"res_bankintegration_12","True","LONOVERFORSEL","Lønoverførsel","Nordea"
"res_bankintegration_13","True",";"," ","Nordea"
"res_bankintegration_14","True","?SVCSAPPS","Google G Suite","Google"
"res_bankintegration_15","True","?ADWS9999","Google AdWords","Google"
